FecAcc;MesAcc;TipoAcc;ZonaAcc;Turno;TotalAcc;TotalAccH;TotalAccM;EdadPrm;EdadPromH;EdadPromM;DiaDescPromH;DiaDescPromM;MtoDescPromH;MtoDescPromM;CostoDiario
2020-01-02;202001;CAIDA DE PERSONAS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;50.0;50.0;0.0;2.0;0.0;95.17;0.0;47.585
2020-01-03;202001;CAIDA DE OBJETOS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;62.0;62.0;0.0;5.0;0.0;383.83;0.0;76.76599999999999
2020-01-03;202001;GOLPES CONTRA OBJETOS;TRONCO;DIA;1;1.0;0.0;44.0;44.0;0.0;2.0;0.0;159.07;0.0;79.535
2020-01-03;202001;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;33.0;33.0;0.0;3.0;0.0;156.05;0.0;52.01666666666667
2020-01-04;202001;CAIDA DE PERSONAS;TRONCO;DIA;1;1.0;0.0;31.0;31.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-01-04;202001;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;36.0;36.0;0.0;3.0;0.0;262.49;0.0;87.49666666666667
2020-01-06;202001;CONTACTO CON SUSTANCIAS NOCIVAS;CABEZA;DIA;1;1.0;0.0;33.0;33.0;0.0;2.0;0.0;192.6;0.0;96.3
2020-01-07;202001;CAIDA DE PERSONAS;TRONCO;DIA;1;1.0;0.0;40.0;40.0;0.0;5.0;0.0;304.48;0.0;60.896
2020-01-07;202001;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;30.0;30.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-01-08;202001;CAIDA DE PERSONAS;TRONCO;DIA;1;1.0;0.0;36.0;36.0;0.0;5.0;0.0;349.3;0.0;69.86
2020-01-09;202001;ATRAPADO POR OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;31.0;31.0;0.0;2.0;0.0;60.24;0.0;30.12
2020-01-09;202001;CAIDA DE PERSONAS;TRONCO;DIA;1;1.0;0.0;39.0;39.0;0.0;5.0;0.0;349.3;0.0;69.86
2020-01-09;202001;GOLPES CONTRA OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;46.0;46.0;0.0;5.0;0.0;349.3;0.0;69.86
2020-01-09;202001;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;0.0;1.0;43.0;0.0;43.0;0.0;2.0;0.0;120.7;60.35
2020-01-10;202001;CAIDA DE PERSONAS;TRONCO;DIA;1;1.0;0.0;57.0;57.0;0.0;2.0;0.0;140.17;0.0;70.085
2020-01-13;202001;MANIPULACION OBJETOS POR ESFUERZO;TRONCO;DIA;1;0.0;1.0;25.0;0.0;25.0;0.0;2.0;0.0;65.31;32.655
